2024/03/08 01:22:09 [error] 37584#151540: *2915 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1709837655.5313858985900878906250 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local"
2024/03/09 10:01:13 [error] 37584#151540: *5327 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp-block-editor/v1/navigation-fallback?_embed=true&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5331 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/19?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5335 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/10?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5331 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/19?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5344 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/posts/5?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5344 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/posts/5?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5339 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/7?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5339 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/7?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5346 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/posts/1?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5346 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/posts/1?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5335 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/10?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5348 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation/12?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5348 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation/12?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
2024/03/09 10:01:13 [error] 37584#151540: *5350 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&_fields=id%2Clink%2Cmenu_order%2Cparent%2Ctitle%2Ctype&orderby=menu_order&order=asc&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "kicklo.local", referrer: "http://kicklo.local/wp-admin/site-editor.php"
